anio_mat,entidad_id,ent_regis,municipio_id,mun_regis,tipo_div,causa,hijos,custodia,pension,edad_mdiv1,escol_div1,con_acdiv1,sexo_div1,edad_mdiv2,escol_div2,con_acdiv2,sexo_div2
2015,14,Jalisco,46,Hopelchén,Judicial,Mutuo consentimiento,1,Divorciante 2,Hijos,18,No especificada,No trabaja,Mujer,24,No especificada,Trabaja,Hombre
2015,14,Jalisco,46,Hopelchén,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,19,No especificada,No especificada,Mujer,20,No especificada,No especificada,Hombre
2015,14,Jalisco,53,Allende,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,19,No especificada,No trabaja,Mujer,24,No especificada,Trabaja,Hombre
2016,14,Jalisco,18,San José de Gracia,Judicial,Mutuo consentimiento,1,Divorciante 1,Hijos,19,Preparatoria o equivalente,No trabaja,Mujer,17,Secundaria o equivalente,Trabaja,Hombre
2016,14,Jalisco,73,Acapetahua,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,18,No especificada,No especificada,Mujer,27,No especificada,No especificada,Hombre
2016,14,Jalisco,83,Allende,Judicial,Voluntario unilateral,2,Divorciante 2,Hijos,25,Superior,Trabaja,Hombre,19,Preparatoria o equivalente,No trabaja,Mujer
2016,14,Jalisco,93,Coyoacán,Judicial,Mutuo consentimiento,1,Divorciante 1,Hijos,19,Preparatoria o equivalente,Trabaja,Mujer,20,Secundaria o equivalente,Trabaja,Hombre
2016,14,Jalisco,59,Francisco I. Madero,Judicial,Mutuo consentimiento,1,Divorciante 2,Hijos,30,Preparatoria o equivalente,Trabaja,Hombre,19,Secundaria o equivalente,No trabaja,Mujer
2016,14,Jalisco,23,Tecate,Judicial,Mutuo consentimiento,1,Divorciante 2,Hijos,21,Preparatoria o equivalente,Trabaja,Hombre,19,Preparatoria o equivalente,Trabaja,Mujer
2016,14,Jalisco,22,Mexicali,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,18,No especificada,Trabaja,Mujer,18,No especificada,Trabaja,Hombre
2016,14,Jalisco,94,Cuajimalpa de Morelos,Judicial,Mutuo consentimiento,1,Divorciante 1,Hijos,19,Secundaria o equivalente,Trabaja,Mujer,23,Secundaria o equivalente,Trabaja,Hombre
2017,14,Jalisco,53,Allende,Judicial,Voluntario unilateral,1,Ambos,Hijos y Divorciante 2,19,Secundaria o equivalente,No trabaja,Mujer,22,Preparatoria o equivalente,Trabaja,Hombre
2017,14,Jalisco,46,Hopelchén,Judicial,Mutuo consentimiento,1,Divorciante 1,Hijos,18,No especificada,No especificada,Mujer,21,No especificada,No especificada,Hombre
2017,14,Jalisco,93,Coyoacán,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,24,No especificada,No especificada,Hombre,18,No especificada,No especificada,Mujer
2017,14,Jalisco,97,Iztapalapa,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,19,No especificada,No especificada,Mujer,23,No especificada,No especificada,Hombre
